time(s),voltage_0,voltage_1
0.0,0.0,2016.0
8.3333335E-4,0.0,2016.0
0.0016666667,0.0,2016.0
0.0025,0.0,2018.0
0.0033333334,1.0,2016.0
0.004166667,0.0,2018.0
0.005,1.0,2016.0
0.0058333334,0.0,2018.0
0.006666667,1.0,2016.0
0.0075,0.0,2018.0
0.008333334,1.0,2016.0
0.009166666,0.0,2018.0
0.01,1.0,2016.0
0.010833333,0.0,2018.0
0.011666667,1.0,2016.0
0.0125,0.0,2016.0
0.013333334,2.0,2017.0
0.014166667,0.0,2018.0
0.015,1.0,2016.0
0.015833333,0.0,2018.0
0.016666668,1.0,2016.0
0.0175,0.0,2016.0
0.018333333,2.0,2017.0
0.019166667,0.0,2016.0
0.02,2.0,2017.0
0.020833334,0.0,2018.0
0.021666666,1.0,2016.0
0.0225,0.0,2018.0
0.023333333,1.0,2016.0
0.024166666,0.0,2018.0
0.025,1.0,2016.0
0.025833333,0.0,2018.0
0.026666667,1.0,2016.0
0.0275,0.0,2018.0
0.028333334,1.0,2016.0
0.029166667,0.0,2018.0
0.03,1.0,2016.0
0.030833334,0.0,2018.0
0.031666666,1.0,2016.0
0.0325,0.0,2018.0
0.033333335,1.0,2016.0
0.034166668,0.0,2018.0
0.035,1.0,2016.0
0.035833333,0.0,2018.0
0.036666665,1.0,2016.0
0.0375,0.0,2018.0
0.038333334,1.0,2016.0
0.039166667,0.0,2018.0
0.04,1.0,2016.0
0.04083333,2320.0,4082.0
0.041666668,2307.0,3987.0
0.0425,2307.0,3777.0
0.043333333,2322.0,3585.0
0.044166666,2321.0,3426.0
0.045,2321.0,3264.0
0.045833334,2323.0,3139.0
0.046666667,2323.0,3027.0
0.0475,2336.0,2914.0
0.048333332,2339.0,2819.0
0.04916667,2338.0,2739.0
0.05,2339.0,2673.0
0.050833333,2339.0,2595.0
0.051666666,2339.0,2547.0
0.0525,2352.0,2496.0
0.053333335,2352.0,2448.0
0.054166667,2352.0,2402.0
0.055,2353.0,2368.0
0.055833332,2352.0,2336.0
0.05666667,2352.0,2306.0
0.0575,2353.0,2274.0
0.058333334,2355.0,2259.0
0.059166666,2353.0,2240.0
0.06,2352.0,2210.0
0.060833335,2354.0,2195.0
0.061666667,2355.0,2177.0
0.0625,2353.0,2176.0
0.06333333,2352.0,2160.0
0.064166665,2353.0,2146.0
0.065,2355.0,2145.0
0.06583333,2354.0,2131.0
0.06666667,2355.0,2129.0
0.0675,2354.0,2115.0
0.068333335,2355.0,2113.0
0.06916667,2354.0,2113.0
0.07,2352.0,2096.0
0.07083333,2354.0,2099.0
0.071666665,2355.0,2097.0
0.0725,2354.0,2097.0
0.07333333,2352.0,2096.0
0.07416666,2354.0,2083.0
0.075,2355.0,2081.0
0.075833336,2354.0,2081.0
0.07666667,2354.0,2081.0
0.0775,2354.0,2083.0
0.07833333,2353.0,2080.0
0.079166666,2354.0,2081.0
0.08,2352.0,2080.0
0.08083333,2354.0,2081.0
0.08166666,2352.0,2080.0
0.0825,2354.0,2067.0
0.083333336,2355.0,2081.0
0.08416667,2354.0,2067.0
0.085,2355.0,2065.0
0.08583333,2354.0,2067.0
0.086666666,2355.0,2065.0
0.0875,2354.0,2067.0
0.08833333,2355.0,2065.0
