time(s),voltage_2
0.0,0.0
8.3333335E-4,0.0
0.0016666667,0.0
0.0025,0.0
0.0033333334,0.0
0.004166667,0.0
0.005,0.0
0.0058333334,0.0
0.006666667,0.0
0.0075,0.0
0.008333334,0.0
0.009166666,0.0
0.01,0.0
0.010833333,0.0
0.011666667,0.0
0.0125,0.0
0.013333334,0.0
0.014166667,0.0
0.015,0.0
0.015833333,0.0
0.016666668,0.0
0.0175,0.0
0.018333333,0.0
0.019166667,0.0
0.02,0.0
0.020833334,0.0
0.021666666,0.0
0.0225,0.0
0.023333333,0.0
0.024166666,0.0
0.025,0.0
0.025833333,0.0
0.026666667,0.0
0.0275,0.0
0.028333334,0.0
0.029166667,0.0
0.03,0.0
0.030833334,0.0
0.031666666,0.0
0.0325,0.0
0.033333335,0.0
0.034166668,0.0
0.035,0.0
0.035833333,0.0
0.036666665,0.0
0.0375,0.0
0.038333334,0.0
0.039166667,0.0
0.04,0.0
0.04083333,0.0
0.041666668,0.0
0.0425,0.0
0.043333333,0.0
0.044166666,0.0
0.045,0.0
0.045833334,0.0
0.046666667,0.0
0.0475,0.0
0.048333332,0.0
0.04916667,0.0
0.05,0.0
0.050833333,0.0
0.051666666,0.0
0.0525,0.0
0.053333335,0.0
0.054166667,0.0
0.055,0.0
0.055833332,0.0
0.05666667,0.0
0.0575,0.0
0.058333334,0.0
0.059166666,0.0
0.06,0.0
0.060833335,0.0
0.061666667,0.0
0.0625,0.0
0.06333333,0.0
0.064166665,0.0
0.065,0.0
0.06583333,0.0
0.06666667,0.0
0.0675,98.0
0.068333335,243.0
0.06916667,387.0
0.07,513.0
0.07083333,640.0
0.071666665,752.0
0.0725,882.0
0.07333333,992.0
0.07416666,1090.0
0.075,1203.0
0.075833336,1299.0
0.07666667,1395.0
0.0775,1505.0
0.07833333,1584.0
0.079166666,1664.0
0.08,1760.0
0.08083333,1840.0
0.08166666,1920.0
0.0825,1984.0
0.083333336,2066.0
0.08416667,2145.0
0.085,2192.0
0.08583333,2274.0
0.086666666,2323.0
0.0875,2401.0
0.08833333,2448.0
0.08916666,2514.0
0.09,2563.0
0.090833336,2611.0
0.09166667,2675.0
0.0925,2721.0
0.093333334,2769.0
0.094166666,2816.0
0.095,2864.0
0.09583333,2896.0
0.096666664,2944.0
0.0975,2978.0
0.09833334,3027.0
0.09916667,3057.0
0.1,3091.0
0.100833334,3123.0
0.10166667,3171.0
0.1025,3185.0
0.10333333,3219.0
0.104166664,3251.0
0.105,3283.0
0.10583334,3313.0
0.10666667,3344.0
0.1075,3360.0
0.108333334,3394.0
0.10916667,3409.0
0.11,3440.0
0.11083333,3458.0
0.111666664,3475.0
0.1125,3507.0
0.11333334,3523.0
0.11416667,3539.0
0.115,3571.0
0.115833335,3585.0
0.11666667,3600.0
0.1175,3618.0
0.11833333,3633.0
0.119166665,3650.0
0.12,3664.0
0.12083333,3680.0
0.12166667,3696.0
0.1225,3696.0
0.123333335,3715.0
0.12416667,3729.0
0.125,3746.0
0.12583333,3763.0
0.12666667,3763.0
0.1275,3779.0
0.12833333,3793.0
0.12916666,3792.0
0.13,3809.0
0.13083333,3824.0
0.13166666,3824.0
0.1325,3840.0
0.13333334,3842.0
0.13416667,3857.0
0.135,3856.0
0.13583334,3874.0
0.13666667,3875.0
0.1375,3889.0
0.13833334,3888.0
0.13916667,3888.0
0.14,3905.0
0.14083333,3906.0
0.14166667,3923.0
0.1425,3923.0
0.14333333,3936.0
0.14416666,3936.0
0.145,3936.0
0.14583333,3938.0
0.14666666,3952.0
0.1475,3952.0
0.14833333,3954.0
0.14916667,3971.0
0.15,3969.0
0.15083334,3968.0
0.15166667,3970.0
0.1525,3971.0
0.15333334,3985.0
0.15416667,3986.0
0.155,3987.0
0.15583333,4003.0
0.15666667,4000.0
0.1575,4002.0
0.15833333,4001.0
0.15916666,4002.0
0.16,4016.0
0.16083333,4016.0
0.16166666,4016.0
0.1625,4018.0
0.16333333,4018.0
0.16416667,4019.0
0.165,4019.0
0.16583334,4035.0
0.16666667,4032.0
0.1675,4034.0
0.16833334,4033.0
0.16916667,4032.0
0.17,4034.0
0.17083333,4035.0
0.17166667,4035.0
0.1725,4035.0
0.17333333,4048.0
0.17416666,4048.0
0.175,4048.0
0.17583333,4050.0
0.17666666,4049.0
0.1775,4048.0
0.17833333,4050.0
0.17916666,4049.0
0.18,4064.0
0.18083334,4064.0
0.18166667,4064.0
0.1825,4064.0
0.18333334,4064.0
0.18416667,4064.0
0.185,4064.0
0.18583333,4064.0
0.18666667,4065.0
0.1875,4066.0
0.18833333,4065.0
0.18916667,4066.0
0.19,4065.0
0.19083333,4064.0
0.19166666,4066.0
0.1925,4065.0
0.19333333,4066.0
0.19416666,4065.0
0.195,4066.0
0.19583334,4065.0
0.19666667,4067.0
0.1975,4067.0
0.19833334,4083.0
0.19916667,4081.0
0.2,4067.0
0.20083334,4081.0
0.20166667,4080.0
0.2025,4080.0
0.20333333,4080.0
0.20416667,4080.0
0.205,4080.0
0.20583333,4080.0
0.20666666,4080.0
0.2075,4080.0
0.20833333,4080.0
0.20916666,4080.0
0.21,4081.0
0.21083333,4082.0
0.21166667,4081.0
0.2125,4080.0
0.21333334,4081.0
0.21416667,4082.0
0.215,4081.0
0.21583334,4082.0
0.21666667,4082.0
0.2175,4081.0
0.21833333,4082.0
0.21916667,4083.0
0.22,4082.0
0.22083333,4081.0
0.22166666,4082.0
0.2225,4081.0
0.22333333,4082.0
0.22416666,4081.0
0.225,4082.0
0.22583333,4081.0
0.22666667,4082.0
0.2275,4081.0
0.22833334,4082.0
0.22916667,4081.0
0.23,4082.0
0.23083334,4081.0
0.23166667,4082.0
0.2325,4081.0
0.23333333,4082.0
0.23416667,4083.0
0.235,4083.0
0.23583333,4083.0
0.23666666,4082.0
0.2375,4081.0
0.23833333,4082.0
0.23916666,4081.0
0.24,4083.0
0.24083333,4083.0
0.24166666,4083.0
0.2425,4083.0
0.24333334,4082.0
0.24416667,4083.0
0.245,4083.0
0.24583334,4083.0
0.24666667,4083.0
0.2475,4083.0
0.24833333,4083.0
0.24916667,4083.0
0.25,4083.0
0.25083333,4083.0
0.25166667,4083.0
0.2525,4083.0
0.25333333,4083.0
0.25416666,4081.0
0.255,4082.0
0.25583333,4081.0
0.25666666,4083.0
0.2575,4083.0
0.25833333,4083.0
0.25916666,4083.0
0.26,4083.0
0.26083332,4081.0
0.26166666,4082.0
0.2625,4083.0
0.26333332,4083.0
0.26416665,4083.0
0.265,4083.0
0.26583335,4083.0
0.26666668,4083.0
0.2675,4083.0
0.26833335,4083.0
0.26916668,4083.0
0.27,4083.0
0.27083334,4083.0
0.27166668,4083.0
0.2725,4083.0
0.27333334,4083.0
0.27416667,4083.0
0.275,4083.0
0.27583334,4083.0
0.27666667,4083.0
0.2775,4083.0
0.27833334,4083.0
0.27916667,4083.0
0.28,4083.0
0.28083333,4083.0
0.28166667,4083.0
0.2825,4083.0
0.28333333,4083.0
0.28416666,4083.0
0.285,4083.0
0.28583333,4083.0
0.28666666,4083.0
0.2875,4083.0
0.28833333,4083.0
0.28916666,4083.0
0.29,4083.0
0.29083332,4083.0
0.29166666,4083.0
0.2925,4083.0
0.29333332,4083.0
0.29416665,4083.0
0.295,4083.0
0.29583332,4083.0
0.29666665,4083.0
0.2975,4083.0
0.29833335,4083.0
0.29916668,4083.0
0.3,4083.0
0.30083334,4083.0
0.30166668,4083.0
0.3025,4083.0
0.30333334,4083.0
0.30416667,4083.0
0.305,4083.0
0.30583334,4083.0
0.30666667,4083.0
0.3075,4083.0
0.30833334,4083.0
0.30916667,4083.0
0.31,4083.0
0.31083333,4083.0
0.31166667,4083.0
0.3125,4083.0
0.31333333,4083.0
0.31416667,4083.0
0.315,4083.0
0.31583333,4083.0
0.31666666,4083.0
0.3175,4083.0
0.31833333,4083.0
0.31916666,4083.0
0.32,4083.0
0.32083333,4083.0
0.32166666,4083.0
0.3225,4083.0
0.32333332,4083.0
0.32416666,4083.0
0.325,4083.0
0.32583332,4083.0
0.32666665,4083.0
0.3275,4083.0
0.32833335,4083.0
0.32916668,4083.0
0.33,4083.0
0.33083335,4083.0
0.33166668,4083.0
0.3325,4083.0
0.33333334,4083.0
